epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.0179,1.99427,4.77826,1.84299,0.00938,0.24044,0.01308,0.00451,1.75305,4.06523,1.70008,0.000615672,0.000205224,0.000615672,0.000205224,0.000615672,0.000205224,0.000615672,0.000205224
2,21.5272,1.83775,4.56086,1.71712,0.00897,0.37962,0.01773,0.00652,1.59859,3.8743,1.55456,0.00122839,0.000409463,0.00122839,0.000409463,0.00122839,0.000409463,0.00122839,0.000409463
3,30.5526,1.81463,4.12116,1.68865,0.33029,0.13623,0.03802,0.01809,1.57887,3.41797,1.5139,0.00182873,0.000609577,0.00182873,0.000609577,0.00182873,0.000609577,0.00182873,0.000609577
4,39.479,1.75462,3.64652,1.64159,0.38612,0.1231,0.06123,0.03671,1.51296,3.22473,1.45409,0.00181931,0.000606437,0.00181931,0.000606437,0.00181931,0.000606437,0.00181931,0.000606437
5,48.3506,1.66881,3.20505,1.55289,0.50876,0.09808,0.09941,0.06754,1.45716,3.12493,1.42349,0.00180075,0.00060025,0.00180075,0.00060025,0.00180075,0.00060025,0.00180075,0.00060025
6,57.2468,1.6046,2.89912,1.50153,0.51118,0.13068,0.11249,0.07823,1.38834,3.05707,1.38024,0.00178219,0.000594062,0.00178219,0.000594062,0.00178219,0.000594062,0.00178219,0.000594062
7,66.0644,1.51537,2.65723,1.43863,0.53233,0.17679,0.12749,0.08891,1.4085,3.11245,1.39069,0.00176363,0.000587875,0.00176363,0.000587875,0.00176363,0.000587875,0.00176363,0.000587875
8,74.8595,1.42971,2.43075,1.38446,0.50646,0.15643,0.12394,0.084,1.46137,3.20196,1.44073,0.00174506,0.000581687,0.00174506,0.000581687,0.00174506,0.000581687,0.00174506,0.000581687
9,83.6785,1.38926,2.30118,1.35281,0.4706,0.17273,0.12666,0.08681,1.40083,3.17215,1.38528,0.0017265,0.0005755,0.0017265,0.0005755,0.0017265,0.0005755,0.0017265,0.0005755
10,92.4791,1.31756,2.1197,1.30392,0.40989,0.17312,0.11497,0.08078,1.39812,3.16977,1.37886,0.00170794,0.000569313,0.00170794,0.000569313,0.00170794,0.000569313,0.00170794,0.000569313
11,101.206,1.28113,2.02267,1.27938,0.42212,0.16451,0.12049,0.08333,1.4014,3.15471,1.3869,0.00168937,0.000563125,0.00168937,0.000563125,0.00168937,0.000563125,0.00168937,0.000563125
12,110.022,1.24399,1.96532,1.26394,0.41648,0.14922,0.12328,0.08908,1.33868,3.12496,1.35624,0.00167081,0.000556938,0.00167081,0.000556938,0.00167081,0.000556938,0.00167081,0.000556938
13,118.838,1.20336,1.86739,1.23886,0.4027,0.2184,0.13704,0.09675,1.37361,3.1328,1.38046,0.00165225,0.00055075,0.00165225,0.00055075,0.00165225,0.00055075,0.00165225,0.00055075
14,127.643,1.20405,1.83673,1.22573,0.39879,0.20759,0.13766,0.09945,1.32486,3.04908,1.34934,0.00163369,0.000544563,0.00163369,0.000544563,0.00163369,0.000544563,0.00163369,0.000544563
15,136.427,1.1585,1.74554,1.2108,0.41417,0.18434,0.13958,0.09937,1.33399,3.14016,1.36159,0.00161512,0.000538375,0.00161512,0.000538375,0.00161512,0.000538375,0.00161512,0.000538375
16,145.236,1.13847,1.67332,1.18604,0.4808,0.1316,0.13858,0.10312,1.34265,3.17115,1.35702,0.00159656,0.000532187,0.00159656,0.000532187,0.00159656,0.000532187,0.00159656,0.000532187
17,154.114,1.1099,1.61134,1.16868,0.42743,0.19562,0.13008,0.09524,1.32281,3.21259,1.34428,0.001578,0.000526,0.001578,0.000526,0.001578,0.000526,0.001578,0.000526
18,162.898,1.08798,1.58347,1.15751,0.45175,0.14183,0.14209,0.10732,1.3255,3.15235,1.34005,0.00155944,0.000519812,0.00155944,0.000519812,0.00155944,0.000519812,0.00155944,0.000519812
19,171.673,1.07852,1.59742,1.17228,0.46663,0.14358,0.1529,0.1132,1.31464,3.17732,1.34037,0.00154088,0.000513625,0.00154088,0.000513625,0.00154088,0.000513625,0.00154088,0.000513625
20,180.559,1.05135,1.53314,1.14949,0.44856,0.13342,0.14576,0.10855,1.29903,3.18482,1.33148,0.00152231,0.000507438,0.00152231,0.000507438,0.00152231,0.000507438,0.00152231,0.000507438
21,189.379,1.02834,1.45892,1.13127,0.43112,0.16491,0.14995,0.11447,1.26471,3.19307,1.32489,0.00150375,0.00050125,0.00150375,0.00050125,0.00150375,0.00050125,0.00150375,0.00050125
22,198.223,1.04173,1.4835,1.14477,0.41909,0.19417,0.15866,0.12151,1.27566,3.2074,1.32739,0.00148519,0.000495063,0.00148519,0.000495063,0.00148519,0.000495063,0.00148519,0.000495063
23,206.992,1.01565,1.41333,1.11703,0.42018,0.19602,0.14766,0.11037,1.25648,3.20187,1.30917,0.00146663,0.000488875,0.00146663,0.000488875,0.00146663,0.000488875,0.00146663,0.000488875
24,215.782,1.00594,1.38731,1.11455,0.39787,0.19739,0.14349,0.11308,1.27389,3.19189,1.31373,0.00144806,0.000482687,0.00144806,0.000482687,0.00144806,0.000482687,0.00144806,0.000482687
25,224.57,1.00325,1.3514,1.10859,0.40516,0.19981,0.13196,0.10312,1.24597,3.22544,1.30177,0.0014295,0.0004765,0.0014295,0.0004765,0.0014295,0.0004765,0.0014295,0.0004765
26,233.333,0.9575,1.30786,1.09233,0.48257,0.13794,0.14889,0.11987,1.26436,3.17282,1.30692,0.00141094,0.000470312,0.00141094,0.000470312,0.00141094,0.000470312,0.00141094,0.000470312
27,242.105,0.99255,1.36319,1.10131,0.46708,0.1323,0.13796,0.11017,1.22077,3.18433,1.28449,0.00139237,0.000464125,0.00139237,0.000464125,0.00139237,0.000464125,0.00139237,0.000464125
28,251.269,0.96021,1.28351,1.08831,0.46251,0.14557,0.1509,0.11966,1.24796,3.23165,1.30491,0.00137381,0.000457938,0.00137381,0.000457938,0.00137381,0.000457938,0.00137381,0.000457938
29,260.037,0.93678,1.23929,1.07276,0.44308,0.1424,0.13294,0.10633,1.25683,3.33674,1.30075,0.00135525,0.00045175,0.00135525,0.00045175,0.00135525,0.00045175,0.00135525,0.00045175
30,268.816,0.93076,1.26183,1.07323,0.42937,0.1672,0.13189,0.10462,1.2353,3.33016,1.31588,0.00133669,0.000445562,0.00133669,0.000445562,0.00133669,0.000445562,0.00133669,0.000445562
