epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.174,1.54717,5.93908,0.01595,0.19916,0.16028,0.08684,0.04924,1.4135,3.72063,0.02134,0.00041498,0.00041498,0.00041498
2,115.746,1.44047,3.39592,0.01428,0.16583,0.23995,0.10524,0.0661,1.43511,3.21907,0.02281,0.000823413,0.000823413,0.000823413
3,154.663,1.43578,2.22309,0.01433,0.24628,0.24678,0.16083,0.11453,1.49377,3.25921,0.02403,0.0012236,0.0012236,0.0012236
4,193.377,1.43855,1.82364,0.0147,0.17956,0.21688,0.14392,0.09011,1.60905,3.24247,0.02478,0.00121287,0.00121287,0.00121287
5,231.953,1.36659,1.56881,0.01346,0.23118,0.2625,0.15992,0.10706,1.52862,3.32633,0.0231,0.0012005,0.0012005,0.0012005
6,270.668,1.34214,1.39078,0.01308,0.22373,0.2515,0.16166,0.11049,1.40546,3.35784,0.02143,0.00118812,0.00118812,0.00118812
7,309.406,1.28349,1.27315,0.01192,0.24237,0.26376,0.18667,0.12983,1.48583,3.46988,0.02245,0.00117575,0.00117575,0.00117575
8,348.074,1.22938,1.17823,0.01161,0.226,0.2396,0.16574,0.11634,1.54204,3.49532,0.02434,0.00116337,0.00116337,0.00116337
9,386.943,1.21762,1.10488,0.01141,0.26578,0.25365,0.19342,0.14187,1.4763,3.59374,0.02239,0.001151,0.001151,0.001151
10,425.646,1.19043,1.04838,0.01113,0.23309,0.25662,0.1814,0.12653,1.47213,3.45704,0.02203,0.00113863,0.00113863,0.00113863
11,464.339,1.15915,0.99504,0.01064,0.27199,0.28036,0.21511,0.16199,1.43523,3.5143,0.02138,0.00112625,0.00112625,0.00112625
12,503.071,1.14461,0.97492,0.01042,0.30049,0.2569,0.21793,0.15699,1.45216,3.43794,0.02111,0.00111388,0.00111388,0.00111388
13,541.82,1.11625,0.92896,0.01012,0.30567,0.2339,0.19273,0.13674,1.52437,3.67976,0.02248,0.0011015,0.0011015,0.0011015
